source_position,imdb_id,title,year,decision,matched_canonical_film_id,match_rule,confidence,metadata_conflicts,final_canonical_film_id
1,tt0018379,7th Heaven,1927,new,,none,high,,tt0018379
2,tt0019304,The Racket,1928,new,,none,high,,tt0019304
3,tt0018578,Wings,1927,new,,none,high,,tt0018578
4,tt0019729,The Broadway Melody,1929,new,,none,high,,tt0019729
5,tt0019630,Alibi,1929,new,,none,high,,tt0019630
6,tt0019993,The Hollywood Revue of 1929,1929,new,,none,high,,tt0019993
7,tt0020018,In Old Arizona,1928,new,,none,high,,tt0020018
8,tt0019257,The Patriot,1928,new,,none,high,,tt0019257
9,tt0020629,All Quiet on the Western Front,1930,new,,none,high,,tt0020629
10,tt0020686,The Big House,1930,new,,none,high,,tt0020686
11,tt0019823,Disraeli,1929,new,,none,high,,tt0019823
12,tt0020827,The Divorcee,1930,new,,none,high,,tt0020827
13,tt0020112,The Love Parade,1929,new,,none,high,,tt0020112
14,tt0021746,Cimarron,1931,new,,none,high,,tt0021746
15,tt0021826,East Lynne,1931,new,,none,high,,tt0021826
16,tt0021890,The Front Page,1931,matched_existing,tt0021890,exact_imdb_id,high,,tt0021890
17,tt0022397,Skippy,1931,new,,none,high,,tt0022397
18,tt0022495,Trader Horn,1931,new,,none,high,,tt0022495
19,tt0022958,Grand Hotel,1932,new,,none,high,,tt0022958
20,tt0021622,Arrowsmith,1931,new,,none,high,,tt0021622
21,tt0021635,Bad Girl,1931,new,,none,high,,tt0021635
22,tt0021730,The Champ,1931,new,,none,high,,tt0021730
23,tt0021873,Five Star Final,1931,new,,none,high,,tt0021873
24,tt0023303,One Hour with You,1932,new,,none,high,,tt0023303
25,tt0023458,Shanghai Express,1932,new,,none,high,,tt0023458
26,tt0022074,The Smiling Lieutenant,1931,new,,none,high,,tt0022074
27,tt0023876,Cavalcade,1933,new,,none,high,,tt0023876
28,tt0024034,42nd Street,1933,new,,none,high,,tt0024034
29,tt0022879,A Farewell to Arms,1932,new,,none,high,,tt0022879
30,tt0023042,I Am a Fugitive from a Chain Gang,1932,new,,none,high,,tt0023042
31,tt0024240,Lady for a Day,1933,new,,none,high,,tt0024240
32,tt0024264,Little Women,1933,new,,none,high,,tt0024264
33,tt0024473,The Private Life of Henry VIII,1933,matched_existing,tt0024473,exact_imdb_id,high,,tt0024473
34,tt0024548,She Done Him Wrong,1933,new,,none,high,,tt0024548
35,tt0023488,Smilin' Through,1932,new,,none,high,,tt0023488
36,tt0024610,State Fair,1933,new,,none,high,,tt0024610
37,tt0025316,It Happened One Night,1934,new,,none,high,,tt0025316
38,tt0024865,The Barretts of Wimpole Street,1934,new,,none,high,,tt0024865
39,tt0024991,Cleopatra,1934,new,,none,high,,tt0024991
40,tt0025124,Flirtation Walk,1934,new,,none,high,,tt0025124
41,tt0025164,The Gay Divorcee,1934,new,,none,high,,tt0025164
42,tt0025238,Here Comes the Navy,1934,new,,none,high,,tt0025238
43,tt0025272,The House of Rothschild,1934,new,,none,high,,tt0025272
44,tt0025301,Imitation of Life,1934,new,,none,high,,tt0025301
45,tt0025601,One Night of Love,1934,new,,none,high,,tt0025601
46,tt0025878,The Thin Man,1934,new,,none,high,,tt0025878
47,tt0025948,Viva Villa!,1934,new,,none,high,,tt0025948
48,tt0025986,The White Parade,1934,new,,none,high,,tt0025986
49,tt0026752,Mutiny on the Bounty,1935,new,,none,high,,tt0026752
50,tt0026056,Alice Adams,1935,new,,none,high,,tt0026056
